                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68841,                0.42594,                0.90995,                0.98385,                0.98927,                0.99371,                0.85202,                0.60846,                0.36196,                 0.8587,               0.001307,               0.001307,               0.001307
                     37,                0.66022,                0.40724,                0.90096,                0.98994,                0.98856,                0.99444,                0.87137,                0.56863,                 0.3303,                0.85038,              0.0012872,              0.0012872,              0.0012872
                     38,                0.65259,                0.39649,                0.89932,                0.98719,                0.99236,                0.99446,                0.87487,                0.55698,                 0.3298,                0.84705,              0.0012674,              0.0012674,              0.0012674
                     39,                0.66573,                0.39878,                0.90345,                0.99497,                0.98989,                0.99448,                0.86876,                0.57328,                0.31752,                0.85038,              0.0012476,              0.0012476,              0.0012476
                     40,                0.65434,                0.39841,                0.89488,                 0.9845,                0.99213,                0.99408,                0.86865,                0.56246,                0.33253,                0.84774,              0.0012278,              0.0012278,              0.0012278
                     41,                0.64669,                0.38584,                0.90036,                0.99569,                0.99134,                0.99482,                 0.8733,                0.55592,                0.31635,                0.84517,               0.001208,               0.001208,               0.001208
                     42,                0.64117,                0.38677,                0.90006,                0.98788,                0.99079,                0.99419,                0.86817,                0.55407,                0.33811,                0.85066,              0.0011882,              0.0011882,              0.0011882
                     43,                0.63534,                0.38752,                 0.8976,                0.98647,                0.99061,                0.99383,                0.87213,                0.55667,                0.32097,                0.85069,              0.0011684,              0.0011684,              0.0011684
                     44,                0.65665,                0.38611,                0.90191,                0.98981,                0.98641,                0.99436,                0.86093,                0.58423,                0.33732,                0.85871,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64048,                0.38876,                0.89802,                0.98717,                0.99046,                 0.9948,                0.86547,                0.57852,                0.34493,                0.85117,              0.0011288,              0.0011288,              0.0011288
                     46,                0.64475,                0.39377,                0.90035,                0.98931,                0.99323,                0.99451,                0.87422,                0.56062,                0.30846,                0.84714,               0.001109,               0.001109,               0.001109
                     47,                0.62366,                0.37207,                 0.8857,                0.99265,                0.98927,                0.99475,                0.87773,                0.54202,                0.29155,                0.84222,              0.0010892,              0.0010892,              0.0010892
